nameWithOwner,createdAt,pullRequests,releases,updatedAt,primaryLanguage,issues,closedIssues,ageInYears,ageInMonths,releasesMonth,daysFromUpdate
moby/moby,18/01/2013 18:10:57,23066,120,08/03/2023 14:17:34,Go,21787,17819,10,124.0109065462963,0.9676568242423184,0.2169186111111111
nvm-sh/nvm,15/04/2010 17:47:47,1005,62,08/03/2023 14:00:31,Shell,1920,1603,12,157.65711025000002,0.3932585083012454,0.5010852777777778
fatedier/frp,21/12/2015 15:24:59,644,78,08/03/2023 14:20:01,Go,2680,2572,7,88.53644358333334,0.8809931463599382,0.17608527777777777
thedaviddias/Front-End-Checklist,16/10/2017 10:12:36,292,1,08/03/2023 13:15:39,,143,137,5,65.77665654629631,0.01520296184857251,1.2488630555555555
macrozheng/mall,04/04/2018 01:11:44,105,2,08/03/2023 14:19:49,Java,454,428,4,60.410471361111114,0.03310684315049871,0.17941861111111113
pytorch/pytorch,13/08/2016 05:26:41,64181,43,08/03/2023 14:12:44,C++,31893,21439,6,80.2354991388889,0.5359223842499731,0.29747416666666665
hakimel/reveal.js,07/06/2011 18:54:22,1001,39,08/03/2023 12:54:49,JavaScript,2215,1576,11,143.68678617592593,0.27142370595059123,1.5960852777777776
neovim/neovim,31/01/2014 13:39:22,13106,31,08/03/2023 14:03:15,Vim Script,9377,8012,9,110.79511950925927,0.2797957178737399,0.45552972222222227
elastic/elasticsearch,08/02/2010 13:20:56,62431,108,08/03/2023 12:39:05,Java,31699,28123,13,159.23869358333332,0.6782271165989006,1.8583075
florinpop17/app-ideas,25/02/2019 18:36:56,556,0,08/03/2023 13:45:09,,113,35,4,49.696471361111115,0.0,0.757196388888889
webpack/webpack,10/03/2012 10:08:14,6017,382,08/03/2023 14:03:30,JavaScript,9380,9180,10,133.97908247222225,2.8511913423440536,0.45136305555555556
iptv-org/iptv,14/11/2018 22:00:57,5717,0,08/03/2023 14:15:20,JavaScript,5340,4511,4,53.01646210185186,0.0,0.2541408333333333
Hack-with-Github/Awesome-Hacking,30/03/2016 15:47:10,89,0,08/03/2023 14:12:34,,0,0,6,85.19078617592594,0.0,0.3002519444444445
netdata/netdata,17/06/2013 18:39:10,7199,61,08/03/2023 13:42:13,C,7240,7013,9,118.99523062037036,0.5126255874456672,0.8060852777777778
pallets/flask,06/04/2010 11:11:59,2346,24,08/03/2023 13:32:27,Python,2466,2463,12,157.41033247222222,0.1524677549628784,0.9688630555555555
apple/swift,23/10/2015 21:15:07,47166,46,08/03/2023 13:22:25,C++,13404,7651,7,90.30859173148148,0.5093646032790969,1.1360852777777777
GrowingGit/GitHub-Chinese-Top-Charts,05/09/2019 03:01:56,17,0,08/03/2023 14:02:25,Java,254,149,3,43.04924913888889,0.0,0.4694186111111111
expressjs/express,26/06/2009 18:56:01,1141,147,08/03/2023 14:15:38,JavaScript,3716,3613,13,167.38586950925924,0.8782103317978609,0.2491408333333333
tauri-apps/tauri,13/07/2019 09:09:37,3215,500,08/03/2023 13:42:53,Rust,2337,1993,3,44.644980620370376,11.199467287300438,0.7949741666666666
chartjs/Chart.js,17/03/2013 23:56:36,3676,101,08/03/2023 13:19:36,JavaScript,6754,6546,9,121.8855454351852,0.8286462487359385,1.1830297222222221
resume/resume.github.com,06/02/2011 13:39:55,183,0,08/03/2023 13:29:18,JavaScript,108,59,12,147.12814728703702,0.0,1.0213630555555555
coder/code-server,27/02/2019 16:50:41,1589,102,08/03/2023 13:53:53,TypeScript,3164,2919,4,49.68883247222223,2.0527751393036153,0.6116408333333333
kdn251/interviews,14/02/2017 18:19:25,162,0,08/03/2023 10:08:42,Java,51,20,6,74.40620284259259,0.0,4.3646963888888894
reduxjs/redux,29/05/2015 23:53:15,2405,70,08/03/2023 14:13:08,TypeScript,1983,1939,7,95.12073987962964,0.7359068073753565,0.2908075
angular/angular.js,06/01/2010 00:34:37,7999,0,08/03/2023 13:33:45,JavaScript,9040,8649,13,160.76442506481482,0.0,0.9471963888888889
atom/atom,20/01/2012 18:18:21,5281,538,08/03/2023 14:19:31,JavaScript,17125,16156,11,136.14012876851854,3.951810570965236,0.18441861111111113
godotengine/godot,04/01/2014 16:05:36,33159,43,08/03/2023 14:16:24,C++,40430,33105,9,112.3805454351852,0.38262850419070077,0.23636305555555553
redis/redis,21/03/2009 22:32:25,5790,46,08/03/2023 14:11:50,C,5876,4063,13,170.4989806203704,0.2697963344568181,0.31247416666666666
home-assistant/core,17/09/2013 07:29:48,52046,1000,08/03/2023 13:58:33,Python,36785,34565,9,115.53376765740741,8.655478136619786,0.5338630555555556
protocolbuffers/protobuf,26/08/2014 15:52:15,6569,122,08/03/2023 14:16:39,C++,5430,4775,8,104.58796210185184,1.1664822370397812,0.23219638888888888
jaywcjlove/awesome-mac,17/07/2016 15:33:47,811,6,08/03/2023 13:43:36,JavaScript,348,256,6,81.56488802777778,0.07356106463306412,0.7830297222222222
adam-p/markdown-here,13/05/2012 03:27:22,82,11,08/03/2023 14:05:12,JavaScript,603,308,10,132.0684528425926,0.08329014055393293,0.42302972222222224
